"CLINGEN DOSAGE SENSITIVITY CURATIONS (FULL)","","","","","","",""
"FILE CREATED: 2026-07-13","","","","","","",""
"WEBPAGE: https://search.clinicalgenome.org/kb/gene-dosage","","","","","","",""
"+++++++++++","+++++++++","++++++","++++++","++++++++++++++++++","+++++++++++++++++","+++++++++++++","++++"
"GENE/REGION","HGNC/ISCA","GRCh37","GRCh38","HAPLOINSUFFICIENCY","TRIPLOSENSITIVITY","ONLINE REPORT","DATE"
"+++++++++++","+++++++++","++++++","++++++","++++++++++++++++++","+++++++++++++++++","+++++++++++++","++++"
"A4GALT","HGNC:18149","chr22:43088127-43117307","chr22:42692121-42721301","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18149","2014-12-11T15:51:23+00:00"
"AAGAB","HGNC:25662","chr15:67493005-67547536","chr15:67200667-67255198","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25662","2013-02-28T20:17:25+00:00"
"AARS1","HGNC:20","chr16:70286201-70323409","chr16:70252298-70289506","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:20","2018-01-11T20:05:45+00:00"
"AARS2","HGNC:21022","chr6:44266468-44281084","chr6:44298731-44313347","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21022","2025-06-27T13:19:05+00:00"
"AASS","HGNC:17366","chr7:121713603-121784303","chr7:122073549-122144249","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17366","2025-10-08T15:56:37+00:00"
"ABAT","HGNC:23","chr16:8768474-8878427","chr16:8674617-8784570","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23","2016-08-22T17:45:36+00:00"
"ABCB11","HGNC:42","chr2:169777291-169887834","chr2:168915390-169031324","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:42","2020-07-08T16:37:14+00:00"
"ABCB4","HGNC:45","chr7:87031012-87104996","chr7:87365896-87476027","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:45","2024-04-16T16:20:06+00:00"
"ABCC8","HGNC:59","chr11:17414045-17498392","chr11:17392498-17476845","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:59","2012-02-24T14:52:51+00:00"
"ABCD1","HGNC:61","chrX:152990311-153010209","chrX:153724856-153744755","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:61","2020-12-02T17:18:11+00:00"
"ABCG5","HGNC:13886","chr2:44039611-44065978","chr2:43806211-43839231","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13886","2025-09-29T00:15:41+00:00"
"ABCG8","HGNC:13887","chr2:44066110-44110127","chr2:43838971-43882988","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13887","2025-02-03T18:56:29+00:00"
"ABHD12","HGNC:15868","chr20:25275379-25371471","chr20:25294743-25390835","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15868","2025-07-18T20:25:42+00:00"
"ABR","HGNC:81","chr17:906759-1133016","chr17:1003519-1229722","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:81","2012-09-05T14:36:50+00:00"
"ABRAXAS1","HGNC:25829","chr4:84380670-84406253","chr4:83459517-83485100","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25829","2023-07-18T21:33:08+00:00"
"ACAD8","HGNC:87","chr11:134123462-134135749","chr11:134253568-134265855","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:87","2026-03-27T15:17:41+00:00"
"ACADM","HGNC:89","chr1:76190394-76229364","chr1:75724709-75763679","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:89","2016-08-22T16:04:53+00:00"
"ACADSB","HGNC:91","chr10:124768522-124817806","chr10:123009006-123058290","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:91","2016-08-22T17:45:39+00:00"
"ACADVL","HGNC:92","chr17:7120444-7128585","chr17:7217125-7225266","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:92","2025-09-26T15:42:04+00:00"
"ACD","HGNC:25070","chr16:67691415-67694163","chr16:67657512-67660260","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25070","2025-04-24T15:25:55+00:00"
"ACOX1","HGNC:119","chr17:73937588-73975247","chr17:75941507-75979166","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:119","2025-12-12T15:41:26+00:00"
"ACP5","HGNC:124","chr19:11685475-11689790","chr19:11574660-11578975","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:124","2016-08-22T17:45:40+00:00"
"ACSF3","HGNC:27288","chr16:89160260-89222641","chr16:89093852-89156233","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:27288","2025-10-24T15:15:08+00:00"
"ACSL4","HGNC:3571","chrX:108884564-108976486","chrX:109641335-109733257","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3571","2025-06-10T16:33:26+00:00"
"ACTA2","HGNC:130","chr10:90694831-90751154","chr10:88935074-88991337","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:130","2022-09-28T17:20:42+00:00"
"ACTB","HGNC:132","chr7:5566779-5570232","chr7:5527148-5530601","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:132","2022-02-08T17:17:21+00:00"
"ACTC1","HGNC:143","chr15:35082431-35087750","chr15:34790230-34795549","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:143","2024-09-10T16:57:33+00:00"
"ACTL6B","HGNC:160","chr7:100240720-100254071","chr7:100643097-100656448","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:160","2022-11-23T17:22:31+00:00"
"ACVRL1","HGNC:175","chr12:52301288-52317145","chr12:51906944-51923361","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:175","2025-02-11T17:43:39+00:00"
"ADA2","HGNC:1839","chr22:17659680-17702738","chr22:17178790-17221848","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:1839","2025-10-24T15:24:06+00:00"
"ADAM9","HGNC:216","chr8:38854492-38962780","chr8:38996973-39105261","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:216","2026-03-27T15:21:39+00:00"
"ADAMTS13","HGNC:1366","chr9:136279457-136324508","chr9:133414337-133459386","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:1366","2016-08-22T17:45:42+00:00"
"ADAMTS17","HGNC:17109","chr15:100511642-100882180","chr15:99971437-100341975","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17109","2016-08-22T17:45:43+00:00"
"ADAMTS18","HGNC:17110","chr16:77316025-77468931","chr16:77282128-77435034","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17110","2016-08-22T17:45:43+00:00"
"ADAMTS2","HGNC:218","chr5:178537854-178772462","chr5:179110853-179345461","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:218","2016-08-22T17:45:44+00:00"
"ADAMTSL2","HGNC:14631","chr9:136397286-136440641","chr9:133532164-133575519","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:14631","2016-08-22T17:45:45+00:00"
"ADGRG1","HGNC:4512","chr16:57653650-57699479","chr16:57619738-57665567","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:4512","2025-10-24T15:31:17+00:00"
"ADGRV1","HGNC:17416","chr5:89854614-90460254","chr5:90558797-91164437","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17416","2021-08-23T16:03:40+00:00"
"ADNP","HGNC:15766","chr20:49505455-49547974","chr20:50888918-50931437","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15766","2017-11-22T17:55:30+00:00"
